iter	Logloss
0	0.6808291374
1	0.6688125322
2	0.6589774466
3	0.6493514458
4	0.6405960359
5	0.6324939915
6	0.6251324296
7	0.619611091
8	0.6127724686
9	0.6083262187
10	0.6033954239
11	0.5990306344
12	0.5955989124
13	0.5909601225
14	0.5874106151
15	0.5836784485
16	0.5808138867
17	0.5771958185
18	0.5747442892
19	0.5706600969
20	0.568798759
21	0.5663297737
22	0.5637527863
23	0.5612936951
24	0.5597230477
25	0.5584046188
26	0.5568682963
27	0.5555877845
28	0.5544006721
29	0.5533786367
30	0.5511397681
31	0.5496529348
32	0.5487741517
33	0.5470799584
34	0.5457511962
35	0.544680228
36	0.5439238402
37	0.5421624498
38	0.5416678891
39	0.5407119724
40	0.5401427134
41	0.5366606552
42	0.5329573762
43	0.5318885481
44	0.5304695682
45	0.5280980884
46	0.5245654377
47	0.5237471841
48	0.5225101768
49	0.5220134233
50	0.5214365557
51	0.5186764426
52	0.5177614966
53	0.5173033618
54	0.5147666051
55	0.5130779187
56	0.5124626649
57	0.5109818835
58	0.5101555277
59	0.5090653582
60	0.5085906017
61	0.5081573394
62	0.5078690174
63	0.5073228024
64	0.5061874158
65	0.5057409428
66	0.5053086113
67	0.5030322578
68	0.5025186745
69	0.4999125994
70	0.4980891506
71	0.4976251287
72	0.4966402729
73	0.4961943269
74	0.495170598
75	0.491693288
76	0.4913374213
77	0.4904439195
78	0.489368701
79	0.4887917513
80	0.4880004122
81	0.4875563993
82	0.4843486002
83	0.4840612686
84	0.4827826199
85	0.4819744082
86	0.4808515088
87	0.4795268707
88	0.4791436631
89	0.477815173
90	0.4768680736
91	0.4751206342
92	0.4729537928
93	0.4716090061
94	0.4709217943
95	0.4702815888
96	0.4692992278
97	0.4671018973
98	0.4661472536
99	0.4658919578
100	0.465106723
101	0.4648349964
102	0.4645290666
103	0.4636467156
104	0.4619974183
105	0.461710858
106	0.4612771871
107	0.4608850081
108	0.4605506567
109	0.4599985209
110	0.4593296941
111	0.4577594628
112	0.4566575844
113	0.4562588461
114	0.455941582
115	0.4557306073
116	0.454712722
117	0.4542180886
118	0.4537009045
119	0.4534074266
120	0.4530613609
121	0.4509632121
122	0.4494639714
123	0.4492040243
124	0.4476999185
125	0.4474564961
126	0.4471260229
127	0.4465533454
128	0.4453853119
129	0.4447297269
130	0.4438601369
131	0.443156884
132	0.4427773878
133	0.442448359
134	0.4421210042
135	0.4416614235
136	0.4414687618
137	0.4403834142
138	0.4399172499
139	0.4392528823
140	0.438389699
141	0.4368966492
142	0.4366458776
143	0.4353038608
144	0.4345989024
145	0.4344303474
146	0.4334241003
147	0.4329607728
148	0.4323192153
149	0.4317344222
150	0.4314682175
151	0.4308545397
152	0.4305934474
153	0.4301129891
154	0.4295332938
155	0.4292822821
156	0.429104797
157	0.4289551134
158	0.4288161217
159	0.4270988515
160	0.4260405073
161	0.4253338638
162	0.4250786107
163	0.4249480642
164	0.4248053738
165	0.4235375899
166	0.4230884694
167	0.4213269292
168	0.4207309277
169	0.4198724627
170	0.4191722423
171	0.4188487171
172	0.4173455629
173	0.4167063699
174	0.4151565195
175	0.4150347536
176	0.4143257578
177	0.4139713335
178	0.4138396644
179	0.4132140064
180	0.4129380776
181	0.4127785052
182	0.4115888856
183	0.4110926026
184	0.4109654842
185	0.4108265804
186	0.4104886641
187	0.4100359827
188	0.4096794916
189	0.4095397747
190	0.4088915611
191	0.4070020291
192	0.4068737618
193	0.4058348849
194	0.4057006979
195	0.4051064834
196	0.4041175632
197	0.4039088557
198	0.402686059
199	0.4017343152
