iter	Passed	Remaining
0	125	24982
1	133	13191
2	139	9135
3	145	7143
4	152	5959
5	158	5127
6	166	4590
7	174	4182
8	182	3878
9	189	3607
10	196	3372
11	204	3200
12	210	3028
13	218	2901
14	225	2775
15	233	2685
16	240	2585
17	248	2512
18	254	2428
19	262	2359
20	268	2289
21	275	2231
22	284	2191
23	292	2144
24	299	2098
25	306	2052
26	314	2014
27	320	1968
28	329	1940
29	335	1898
30	342	1867
31	348	1827
32	354	1791
33	361	1765
34	367	1731
35	374	1708
36	380	1677
37	386	1648
38	392	1622
39	398	1594
40	405	1570
41	411	1548
42	417	1523
43	425	1507
44	432	1488
45	440	1474
46	446	1454
47	453	1436
48	460	1418
49	465	1395
50	472	1379
51	478	1361
52	484	1342
53	491	1327
54	496	1310
55	504	1297
56	510	1281
57	517	1266
58	525	1255
59	534	1246
60	543	1237
61	550	1224
62	558	1214
63	567	1205
64	576	1196
65	584	1187
66	593	1177
67	604	1173
68	616	1169
69	626	1163
70	642	1167
71	652	1160
72	661	1150
73	672	1145
74	680	1134
75	689	1124
76	695	1111
77	704	1102
78	712	1090
79	722	1083
80	728	1070
81	737	1061
82	745	1050
83	752	1039
84	758	1026
85	764	1013
86	772	1002
87	778	990
88	786	980
89	793	969
90	801	959
91	808	949
92	816	938
93	822	927
94	829	917
95	837	907
96	844	896
97	851	886
98	857	875
99	865	865
100	871	854
101	878	843
102	885	834
103	892	823
104	904	818
105	913	810
106	924	803
107	931	793
108	939	783
109	947	775
110	955	766
111	964	757
112	972	748
113	980	739
114	988	730
115	995	720
116	1004	712
117	1012	703
118	1022	696
119	1029	686
120	1036	676
121	1044	667
122	1052	658
123	1059	649
124	1067	640
125	1073	630
126	1082	622
127	1089	612
128	1097	604
129	1104	594
130	1111	585
131	1119	576
132	1126	567
133	1134	558
134	1147	552
135	1155	543
136	1167	536
137	1178	529
138	1192	523
139	1201	515
140	1210	506
141	1217	497
142	1224	487
143	1231	478
144	1236	469
145	1243	459
146	1249	450
147	1255	441
148	1263	432
149	1270	423
150	1278	414
151	1284	405
152	1289	396
153	1296	387
154	1302	378
155	1309	369
156	1316	360
157	1322	351
158	1330	342
159	1336	334
160	1343	325
161	1349	316
162	1355	307
163	1362	299
164	1368	290
165	1375	281
166	1381	273
167	1387	264
168	1395	255
169	1400	247
170	1407	238
171	1414	230
172	1420	221
173	1427	213
174	1433	204
175	1439	196
176	1446	187
177	1452	179
178	1459	171
179	1465	162
180	1472	154
181	1479	146
182	1485	137
183	1492	129
184	1497	121
185	1504	113
186	1510	105
187	1516	96
188	1523	88
189	1529	80
190	1535	72
191	1542	64
192	1547	56
193	1553	48
194	1560	40
195	1565	31
196	1573	23
197	1579	15
198	1586	7
199	1592	0
