iter	RMSE
127	0.843097265
128	0.8424398579
129	0.8411506456
130	0.8399166734
131	0.8386001818
132	0.8377678744
133	0.8371492757
134	0.8365743108
135	0.8359221709
136	0.8345147133
137	0.8338634474
138	0.832980913
139	0.8323385941
140	0.8310420052
141	0.8302203988
142	0.8295454637
143	0.8284924275
144	0.8273094856
145	0.8264655306
146	0.8257997352
147	0.8248886121
148	0.8243127674
149	0.8234221975
150	0.8225404278
151	0.8217549664
152	0.8211121703
153	0.8201560977
154	0.8192923031
155	0.8185834994
156	0.8169999555
157	0.8158211124
158	0.815156309
159	0.8145984891
160	0.8137445669
161	0.812822915
162	0.8117122587
163	0.8104969186
164	0.8089734437
165	0.8080862881
166	0.8075034608
167	0.8066653976
168	0.8058687767
169	0.8053175501
170	0.803894522
171	0.8023442287
172	0.8012508964
173	0.8006907118
174	0.8001067641
175	0.7987522704
176	0.7978420751
177	0.7971310917
178	0.7964971028
179	0.7956605566
180	0.7949414964
181	0.7940571558
182	0.7932740074
183	0.7920269047
184	0.790994356
185	0.7904681173
186	0.789758229
187	0.7887064014
188	0.7879312614
189	0.7872793249
190	0.7866606863
191	0.7858760952
192	0.7852563026
193	0.784465565
194	0.7835305868
195	0.782733026
196	0.7819741734
197	0.7813876973
198	0.7804282493
199	0.7797627929
200	0.7787441142
201	0.7783494949
202	0.7778844368
203	0.7765522891
204	0.7759453531
205	0.7752868028
206	0.7745277248
207	0.773764318
208	0.7731288978
209	0.7727543696
210	0.7721531411
211	0.7713790074
212	0.7708097305
213	0.7699919489
214	0.7696444099
215	0.7688058182
216	0.7675311444
217	0.76668648
218	0.7661808594
219	0.7653201751
220	0.7639587957
221	0.7632231328
222	0.7626284844
223	0.7612830153
224	0.7604798427
225	0.759931146
226	0.7590857905
227	0.7576917905
228	0.756736202
229	0.7556736095
230	0.7552379536
231	0.754831835
232	0.7535764432
233	0.7522579455
234	0.7512257806
235	0.7498605451
236	0.7496081663
237	0.7484159608
238	0.7475116737
239	0.7460221614
240	0.7453800786
241	0.744578524
242	0.743560501
243	0.742354248
244	0.7415439423
245	0.7410145858
246	0.7400488269
247	0.7386640586
248	0.7377750335
249	0.7370136846
250	0.7359329881
251	0.7351555823
252	0.7347998185
253	0.7338344497
254	0.7334201857
255	0.7321100682
256	0.7311152124
257	0.7302706817
258	0.7298428187
259	0.7286494804
260	0.7279944401
261	0.7268766263
262	0.726104904
263	0.7252305401
264	0.7244273663
265	0.7233373817
266	0.7224074751
267	0.721510358
268	0.7205438409
269	0.7195825253
270	0.7186413313
271	0.7178825825
272	0.7170041221
273	0.7163940203
274	0.7159295681
275	0.7149288604
276	0.7140783775
277	0.7134327013
278	0.7128291118
279	0.7117921455
280	0.7109552315
281	0.710133148
282	0.7090203895
283	0.7085779637
284	0.7073935127
285	0.7068605042
286	0.7062023283
287	0.7050052073
288	0.7045419013
289	0.7041347867
290	0.7032403277
291	0.7027069403
292	0.7018722253
293	0.701308138
294	0.700817724
295	0.6998656745
296	0.6988633639
297	0.6979016182
298	0.6976889459
299	0.697254366
300	0.6959572788
301	0.6952760622
302	0.6942300108
303	0.6932318117
304	0.6926705158
305	0.6923430601
306	0.6915880792
307	0.6909418824
308	0.6896937015
309	0.6889584076
310	0.6879078272
311	0.68714642
312	0.6868065106
313	0.6860546053
314	0.6851894561
315	0.6839418607
316	0.6830182958
317	0.6824299986
318	0.6816841048
319	0.6812000006
320	0.6805792199
321	0.6796418679
322	0.6785693073
323	0.6780468078
324	0.6771651656
325	0.6768156817
326	0.6760683809
327	0.6753977773
328	0.6747793858
329	0.674340589
330	0.6737160461
331	0.6730259662
332	0.6723882459
333	0.6712145287
334	0.6705571088
335	0.6701888749
336	0.6696216746
337	0.6688075706
338	0.6676590289
339	0.6668943935
340	0.6665556515
341	0.6661154111
342	0.6652629803
343	0.6647229282
344	0.6638440214
345	0.6628542457
346	0.6619111387
347	0.6610111908
348	0.66013735
349	0.6591785698
350	0.6585704496
351	0.6580059895
352	0.6571276268
353	0.6569025965
354	0.6563845485
355	0.6557480613
356	0.654852937
357	0.6539994943
358	0.6533358145
359	0.6526719824
360	0.6521980673
361	0.6513552138
362	0.6504263327
363	0.6496654728
364	0.6484850323
365	0.6480892089
366	0.6476924579
367	0.647079974
368	0.6463376941
369	0.6456381588
370	0.6447798667
371	0.6443969239
372	0.6437429592
373	0.6430678039
374	0.6425630821
375	0.6421594388
376	0.6416067794
377	0.6409130265
378	0.6404931556
379	0.6397222765
380	0.6384642041
381	0.6376459436
382	0.6372624636
383	0.6369269589
384	0.6361403679
385	0.6353340075
386	0.6345099234
387	0.6340523639
388	0.6332465908
389	0.6323988495
390	0.6315804192
391	0.6309129206
392	0.6301587608
393	0.6291763905
394	0.6287347513
395	0.6282645748
396	0.6278742123
397	0.6272419395
398	0.6265102018
399	0.6258857727
400	0.6249386266
401	0.6237863753
402	0.6232751843
403	0.622699274
404	0.6219099753
405	0.6212884154
406	0.6205954526
407	0.6199958422
408	0.6195879468
409	0.6191877014
410	0.6184201659
411	0.6180912885
412	0.6174979244
413	0.6170157275
414	0.6166726734
415	0.6158010886
416	0.6152267409
417	0.6143963623
418	0.6137465928
419	0.6130176391
420	0.6125580291
421	0.6122094686
422	0.6114958934
423	0.6109211469
424	0.6103957097
425	0.6100744322
426	0.6094269144
427	0.6088166278
428	0.6080449928
429	0.607704735
430	0.607064301
431	0.6061449982
432	0.605594954
433	0.6048992988
434	0.603886187
435	0.6029816422
436	0.6025585157
437	0.601569511
438	0.6012816653
439	0.6003459241
440	0.5998676564
441	0.5992875888
442	0.598699327
443	0.5979168239
444	0.5970699318
445	0.5961901192
446	0.5953475532
447	0.5949937983
448	0.5944908515
449	0.5936961706
450	0.5928052129
451	0.5923382985
452	0.5917988321
453	0.591160463
454	0.5905543712
455	0.5899741313
456	0.5891671569
457	0.5887803752
458	0.5883130276
459	0.5878111014
460	0.5872612529
461	0.5868539901
462	0.5860441824
463	0.5853606397
464	0.5846429437
465	0.5841381551
466	0.5838362329
467	0.5831694585
468	0.5825581248
469	0.5819920685
470	0.581323003
471	0.5807161124
472	0.5802285182
473	0.5797043817
474	0.5792656551
475	0.5785863403
476	0.5780314711
477	0.5772827282
478	0.5768628749
479	0.5764191085
480	0.5757857246
481	0.5753865947
482	0.5750037123
483	0.5745376647
484	0.5742662813
485	0.5737880283
486	0.5732766743
487	0.5728595353
488	0.5723056766
489	0.5719207278
490	0.5713817423
491	0.5709024088
492	0.5706818888
493	0.5700242441
494	0.5692291791
495	0.5684174542
496	0.5675597727
497	0.5671339286
498	0.5666028127
499	0.5661707347
500	0.5658660237
501	0.5655421317
502	0.5648240689
503	0.5639852358
504	0.5632855417
505	0.562487034
506	0.5621542602
507	0.5613433987
508	0.5607135092
509	0.5603566819
510	0.5597844313
511	0.5593658876
512	0.5590276488
513	0.5586298008
514	0.5581777072
515	0.557699141
516	0.5569896073
517	0.5566533187
518	0.5560140522
519	0.5553611612
520	0.5548488381
521	0.5545713505
522	0.5541946444
523	0.5539373449
524	0.5534404368
525	0.5528088155
526	0.5522430477
527	0.5516834694
528	0.5509301075
529	0.5504832515
530	0.5500145827
531	0.5494494526
532	0.5491587975
533	0.5488694192
534	0.5481488604
535	0.5476470909
536	0.5472548198
537	0.5467913057
538	0.5464128373
539	0.5458105244
540	0.5452288674
541	0.5445289717
542	0.5440074296
543	0.5433492867
544	0.5427977783
545	0.5422184422
546	0.5417704581
547	0.5412398675
548	0.540825889
549	0.5401381866
550	0.5397712739
551	0.5392606232
552	0.5388670791
553	0.5385245968
554	0.5380619109
555	0.5374307524
556	0.536769808
557	0.5362495193
558	0.5355518282
559	0.535044712
560	0.5343044332
561	0.533612668
562	0.5331474307
563	0.5327624025
564	0.5322549697
565	0.5317764572
566	0.5311821409
567	0.5308777319
568	0.5304060745
569	0.5300084635
570	0.5294477279
571	0.5292152277
572	0.5286823839
573	0.5281433974
574	0.527786788
575	0.5274159643
576	0.5271024886
577	0.5265030919
578	0.5259880374
579	0.5252137604
580	0.5248658301
581	0.5246101501
582	0.5240203468
583	0.5233719033
584	0.5229810459
585	0.5225103856
586	0.5218446785
587	0.5212216652
588	0.5209457893
589	0.5204792616
590	0.5194864729
591	0.5186488113
592	0.5181990752
593	0.5178756308
594	0.5174223959
595	0.5169785257
596	0.5166473269
597	0.5162185472
598	0.515637237
599	0.5152671467
600	0.5147732022
601	0.5141641274
602	0.5137984136
603	0.5130600684
604	0.5128157453
605	0.5124128999
606	0.5116841468
607	0.5112811306
608	0.5108078088
609	0.510527189
610	0.5102026867
611	0.5099628602
612	0.5096955892
613	0.5089258467
614	0.5084178608
615	0.5079206587
616	0.5072606614
617	0.5068816219
618	0.5062838927
619	0.5059844347
620	0.5055452633
621	0.5050372222
622	0.5042999459
623	0.5039799445
624	0.5035216317
625	0.5031230578
626	0.5025345978
627	0.5019013373
628	0.5012581431
629	0.5010226142
630	0.5006974674
631	0.5003647769
632	0.4997357952
633	0.4994076559
634	0.4990319888
635	0.4985359722
636	0.4978762133
637	0.4972910094
638	0.4968069873
639	0.4960791576
640	0.4955952625
641	0.4952657721
642	0.4948080081
643	0.494356236
644	0.4941542515
645	0.4937324084
646	0.4934131262
647	0.4931963625
648	0.492953509
649	0.4924282114
650	0.4919446112
651	0.4916179508
652	0.4910093108
653	0.4904533639
654	0.4900717226
655	0.4899333654
656	0.4894356876
657	0.4893394369
658	0.4887914875
659	0.4881261887
660	0.4875803457
661	0.487236017
662	0.4870048925
663	0.4867637352
664	0.4864968455
665	0.4859238114
666	0.4855372154
667	0.4850584275
668	0.4846386635
669	0.4842635108
670	0.483753186
671	0.4834604626
672	0.4827923674
673	0.4822529838
674	0.4818464226
675	0.4811248262
676	0.4806382885
677	0.480134759
678	0.4797529802
679	0.4792929866
680	0.4787764232
681	0.4781218631
682	0.4778148867
683	0.4768311367
684	0.4764309874
685	0.4755479684
686	0.4752354012
687	0.4747747075
688	0.4743645481
689	0.4738278092
690	0.4734033845
691	0.4727754644
692	0.4721195853
693	0.4717789227
694	0.4715531941
695	0.4711169087
696	0.4708476328
697	0.4705565183
698	0.4700528943
699	0.4696551698
700	0.4691959912
701	0.4689353776
702	0.4685965286
703	0.4682259616
704	0.467737473
705	0.4670641751
706	0.466887398
707	0.4664303003
708	0.4660547745
709	0.4657650368
710	0.4651598955
711	0.4646703481
712	0.4643887168
713	0.4639645729
714	0.4634014416
715	0.4629553358
716	0.4626142351
717	0.4619401472
718	0.4615562707
719	0.4609622848
720	0.4606888295
721	0.4604237497
722	0.4600770642
723	0.4597741424
724	0.4596070754
725	0.4590683427
726	0.45878745
727	0.4586416236
728	0.4582142603
729	0.4576025896
730	0.4570385677
731	0.4566684865
732	0.4560460026
733	0.455757015
734	0.455309758
735	0.4547763071
736	0.4543960004
737	0.4539176368
738	0.4535217202
739	0.4530948837
740	0.4529188746
741	0.4523724616
742	0.4519100536
743	0.451309027
744	0.4510342588
745	0.4507328461
746	0.4503167248
747	0.4497978329
748	0.4494251355
749	0.4491911755
750	0.4487671766
751	0.4484407169
752	0.4479674421
753	0.4474398262
754	0.4470512596
755	0.4466978897
756	0.4461953199
757	0.4459208974
758	0.4454276828
759	0.4451117213
760	0.444975688
761	0.4445736935
762	0.4440843449
763	0.443804777
764	0.4430901884
765	0.442698152
766	0.4425122919
767	0.4420654436
768	0.4417868473
769	0.4412401718
770	0.4410001722
771	0.4406942677
772	0.4403342578
773	0.4399615211
774	0.4393325597
775	0.4390492531
776	0.4387531104
777	0.4384879218
778	0.4381133351
779	0.4378736224
780	0.4375259832
781	0.4369207019
782	0.4366718667
783	0.4361904698
784	0.4357498816
785	0.4355191511
786	0.4351643073
787	0.4345936223
788	0.4342856028
789	0.4341499512
790	0.4336264762
791	0.4330798685
792	0.432840493
793	0.43253644
794	0.432004522
795	0.4316198276
796	0.4313652173
797	0.4310226895
798	0.430728856
799	0.4302083942
800	0.429820331
801	0.4294168166
802	0.429096685
803	0.4289332309
804	0.4284694459
805	0.428009556
806	0.4277892451
807	0.4273235094
808	0.4271763017
809	0.426910376
810	0.4266746272
811	0.4263868512
812	0.4259518236
813	0.425693813
814	0.4254511911
815	0.425200936
816	0.4247912862
817	0.4245413521
818	0.4241754892
819	0.4236293296
820	0.4233208629
821	0.4231284384
822	0.4229578763
823	0.4224292215
824	0.4221511036
825	0.4214181699
826	0.4209725685
827	0.4204820445
828	0.4202425052
829	0.4199782538
830	0.419261505
831	0.4188444691
832	0.4185612037
833	0.4182113067
834	0.4181192603
835	0.4178616426
836	0.4176886341
837	0.4172994574
838	0.4168794062
839	0.4165888909
840	0.4161184265
841	0.4158474921
842	0.4153698152
843	0.414956932
844	0.4146735281
845	0.4143492194
846	0.4139594819
847	0.4134678192
848	0.4133289801
849	0.4129801143
850	0.4123860504
851	0.4119043416
852	0.4114969751
853	0.4109805228
854	0.4104819034
855	0.4101498779
856	0.4098322227
857	0.4095632786
858	0.4091433041
859	0.4089167547
860	0.4084268089
861	0.4081683951
862	0.4076694391
863	0.4072495261
864	0.4067282811
865	0.4065314485
866	0.4063155805
867	0.405839264
868	0.4055950517
869	0.4052509067
870	0.4050065535
871	0.4045586167
872	0.4041722731
873	0.4039223864
874	0.4037371943
875	0.4035059384
876	0.4033784108
877	0.4029284656
878	0.4026050278
879	0.402161361
880	0.4018924093
881	0.4016849781
882	0.4012370516
883	0.4010299666
884	0.4007367657
885	0.4004467552
886	0.4001941579
887	0.399787262
888	0.3995169481
889	0.3990717761
890	0.3987001179
891	0.3980293343
892	0.3976257329
893	0.3973376935
894	0.3970820464
895	0.3969136859
896	0.3964610758
897	0.3961588041
898	0.3960284522
899	0.39576156
900	0.3953721989
901	0.3952040588
902	0.3948415428
903	0.3946131578
904	0.3941113114
905	0.3937809865
906	0.393566665
907	0.3933141836
908	0.3929763768
909	0.3927923241
910	0.3924033126
911	0.3920249281
912	0.391769905
913	0.3913615005
914	0.3910493513
915	0.3905536672
916	0.390322325
917	0.3898784149
918	0.3896175831
919	0.3891597086
920	0.3885898128
921	0.3881100726
922	0.3879796752
923	0.3878170041
924	0.3875332642
925	0.3871158602
926	0.3868331023
927	0.3864226065
928	0.3858775327
929	0.385483353
930	0.3853202817
931	0.3851384828
932	0.3848931299
933	0.3844207365
934	0.3841092046
935	0.3839797643
936	0.3835135834
937	0.3833426015
938	0.3830978665
939	0.3827003233
940	0.3823099871
941	0.3820312938
942	0.3817727862
943	0.3815116064
944	0.3812379903
945	0.3810987718
946	0.3808827415
947	0.3803748612
948	0.3802233212
949	0.3796985487
950	0.3793787827
951	0.3790807847
952	0.378742396
953	0.3784400304
954	0.3780351977
955	0.3776868955
956	0.377466369
957	0.377304588
958	0.3770739916
959	0.3768270687
960	0.3766047362
961	0.3761050574
962	0.3757702331
963	0.3753045962
964	0.3751679264
965	0.3746707991
966	0.3743042295
967	0.3741223413
968	0.3740550435
969	0.3737860276
970	0.3733504276
971	0.3731791953
972	0.3728180347
973	0.3726427202
974	0.3723307609
975	0.3722373279
976	0.3718817399
977	0.3716428006
978	0.3711883931
979	0.370885675
980	0.370525104
981	0.3701219065
982	0.3699301281
983	0.3695469325
984	0.3692566739
985	0.3689462246
986	0.368697419
987	0.368362724
988	0.3679621267
989	0.3675868292
990	0.367376594
991	0.3670030561
992	0.3667850702
993	0.3664195633
994	0.3661198712
995	0.3658029815
996	0.3655539306
997	0.3652967254
998	0.3650010039
999	0.3648232322
