iter	Passed	Remaining
0	170	170538
1	178	88915
2	184	61251
3	188	47014
4	192	38358
5	196	32500
6	199	28338
7	203	25228
8	206	22716
9	208	20678
10	211	19007
11	214	17635
12	216	16459
13	219	15452
14	221	14549
15	223	13760
16	225	13063
17	228	12442
18	230	11918
19	233	11440
20	235	10994
21	238	10583
22	240	10206
23	242	9857
24	244	9541
25	247	9259
26	250	9011
27	252	8763
28	254	8529
29	256	8309
30	259	8103
31	261	7924
32	264	7747
33	267	7597
34	269	7436
35	271	7282
36	274	7137
37	276	6998
38	279	6876
39	281	6762
40	284	6657
41	287	6552
42	289	6451
43	292	6350
44	295	6271
45	299	6205
46	302	6128
47	305	6053
48	308	5983
49	312	5928
50	315	5874
51	318	5813
52	322	5754
53	325	5709
54	329	5662
55	333	5623
56	336	5570
57	339	5520
58	344	5492
59	348	5460
60	351	5414
61	354	5370
62	359	5351
63	364	5324
64	367	5281
65	370	5241
66	374	5211
67	378	5184
68	382	5155
69	384	5112
70	387	5071
71	390	5039
72	393	5002
73	396	4960
74	398	4919
75	401	4878
76	403	4837
77	406	4804
78	409	4772
79	411	4735
80	414	4698
81	416	4662
82	418	4626
83	421	4597
84	424	4567
85	426	4537
86	429	4504
87	431	4471
88	433	4439
89	435	4407
90	438	4381
91	441	4359
92	444	4330
93	446	4302
94	448	4273
95	450	4245
96	453	4223
97	456	4203
98	459	4180
99	461	4154
100	463	4128
101	466	4102
102	468	4078
103	470	4056
104	474	4045
105	476	4022
106	479	3998
107	481	3975
108	483	3953
109	486	3934
110	489	3918
111	492	3903
112	494	3882
113	496	3861
114	499	3840
115	501	3825
116	504	3808
117	507	3791
118	509	3772
119	511	3753
120	514	3734
121	516	3717
122	519	3702
123	522	3689
124	524	3672
125	527	3655
126	529	3638
127	531	3620
128	534	3608
129	536	3593
130	539	3578
131	541	3562
132	544	3546
133	546	3530
134	549	3517
135	551	3503
136	554	3491
137	556	3476
138	558	3461
139	561	3446
140	563	3431
141	566	3420
142	569	3415
143	572	3402
144	574	3388
145	576	3374
146	579	3360
147	582	3350
148	584	3338
149	587	3331
150	590	3319
151	592	3306
152	594	3292
153	597	3283
154	600	3273
155	602	3261
156	605	3249
157	607	3236
158	609	3223
159	611	3211
160	614	3200
161	617	3193
162	619	3181
163	621	3170
164	624	3158
165	626	3146
166	629	3138
167	632	3130
168	634	3120
169	636	3109
170	639	3098
171	641	3088
172	644	3079
173	646	3070
174	649	3061
175	651	3052
176	654	3041
177	656	3031
178	658	3020
179	661	3012
180	663	3004
181	666	2995
182	668	2985
183	670	2975
184	673	2965
185	675	2956
186	678	2948
187	680	2941
188	683	2931
189	685	2922
190	687	2912
191	689	2903
192	692	2896
193	695	2888
194	698	2881
195	700	2875
196	703	2866
197	705	2856
198	707	2849
199	710	2841
200	712	2834
201	715	2825
202	717	2816
203	719	2808
204	721	2799
205	724	2793
206	728	2789
207	731	2784
208	733	2776
209	735	2768
210	738	2760
211	740	2753
212	743	2747
213	746	2740
214	748	2732
215	750	2724
216	752	2716
217	755	2709
218	757	2702
219	760	2696
220	762	2689
221	765	2681
222	767	2673
223	769	2666
224	772	2660
225	774	2653
226	777	2647
227	779	2640
228	782	2633
229	784	2626
230	786	2618
231	789	2612
232	791	2606
233	794	2602
234	797	2595
235	799	2588
236	801	2580
237	804	2575
238	806	2569
239	809	2564
240	812	2557
241	814	2550
242	816	2543
243	819	2538
244	822	2533
245	824	2527
246	827	2521
247	829	2514
248	831	2508
249	834	2503
250	837	2498
251	839	2493
252	842	2486
253	844	2480
254	846	2474
255	849	2468
256	851	2462
257	854	2458
258	857	2452
259	859	2446
260	861	2440
261	864	2434
262	867	2429
263	870	2425
264	873	2421
265	875	2415
266	877	2409
267	879	2403
268	882	2398
269	885	2394
270	888	2389
271	890	2384
272	893	2378
273	895	2372
274	898	2368
275	900	2362
276	903	2358
277	905	2352
278	908	2346
279	910	2340
280	912	2335
281	915	2330
282	918	2326
283	920	2320
284	922	2315
285	925	2309
286	927	2303
287	930	2299
288	932	2294
289	935	2289
290	937	2284
291	939	2278
292	942	2273
293	944	2267
294	946	2263
295	950	2259
296	952	2254
297	955	2249
298	957	2244
299	959	2239
300	963	2236
301	966	2233
